Order,Family,Species,Scientific_Name,massM,SDmassM,massF,SDmassF,lengthM,SDlengthM,lengthF,SDlengthF,n_M,n_F,n_Mlength,n_Flength,Comments,Source
Rodentia,Cricetidae,Nephelomys pectoralis,Nephelomys pectoralis,66.80519481,21.00628913,64.23728814,18.16147778,NA,NA,NA,NA,77,59,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Cricetidae,Atlantic Forest oecomys,Oecomys catherinae,49.9375,14.44746229,60.85714286,19.06505155,12.169,1.726,13.329,1.734,16,7,16,7,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Cricetidae,Flavescent colilargo,Oligoryzomys flavescens,21.28947368,9.497537385,18.28571429,7.046613506,9.044,2.741,9.329,4.273,19,7,18,7,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Cricetidae,Black-footed colilargo,Oligoryzomys nigripes,18.12638691,5.834222524,17.57224622,5.96369352,9.173,3.557,9.429,3.748,703,463,606,461,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Cricetidae,Muskrat,Ondatra zibethica,986,131.1902435,930,152.027958,NA,NA,NA,NA,83,50,NA,NA,Converted SEs to SDs,"Pankakoski, E. & Tähkä, K. M. Relation of adrenal weight to sex, maturity and season in five species of small mammals. Ann. Zool. Fenn. 19, 225–232 (1982)."
Rodentia,Cricetidae,Longtail rice rat,Oryzomys longicaudatus,37.7,8.5,27.8,6.3,10.1,0.7,9.32,0.92,54,58,54,58,,"Schulte-Hostedde, A. I. Sexual size dimorphism in rodents. in Rodent Societies: An Ecological and Evolutionary Perspective (eds. Wolff, J. O. & Sherman, P. W.) 115–128 (University of Chicago Press, 2007)."
Rodentia,Cricetidae,Atlantic Forest hocicudo,Oxymycterus dasytrichus,87.33333333,22.27666941,76.5,21.00238082,14.078,1.136,14,0.944,9,6,9,6,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Cricetidae,Long-nosed hocicudo,Oxymycterus nasutus,41.33333333,31.77000682,44.33333333,8.96288644,9.533,2.157,10.567,0.929,3,3,3,3,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Cricetidae,Deer mouse,Peromyscus maniculatus,19.33,2.68,19.57,3.83,8.369,0.558,8.308,0.63,80,13,80,13,All pregnant females excluded.,"Sara Weinstein, pers. comm."
Rodentia,Cricetidae,Darwin's leaf-eared mouse,Phyllotys darwini,53.03,14.6,42.42,11.5,NA,NA,NA,NA,1361,1253,NA,NA,Wild-caught,"Lima, M., Bozinovic, F. & Jaksic, F. M. Body mass dynamics and growth patterns of leaf-eared mice Phyllotis darwini in a semi-arid region of the Neotropics. Acta Theriol. (Warsz). 42, 15–24 (1997)."
Rodentia,Cricetidae,Reithrodontomys mexicanus,Reithrodontomys mexicanus,11.5,2.138089935,10.3,1.159501809,NA,NA,NA,NA,8,10,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Cricetidae,Western harvest mouse,Reithrodontomys megalotis,9.74,1.28,10.46,4.29,6.62,0.413,6.891,0.856,41,11,41,11,All pregnant females excluded.,"Sara Weinstein, pers. comm."
Rodentia,Cricetidae,Rhipidomys fulviventer,Rhipidomys fulviventer,48.19607843,11.22322522,31.91666667,8.273268381,NA,NA,NA,NA,51,12,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Cricetidae,Cerrado climbing mouse,Rhipidomys macrurus,61.25,17.91414711,56.9,17.09678332,12.875,0.818,19.27,8.017,4,5,4,5,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Cricetidae,Atlantic Forest climbing mouse,Rhipidomys mastacalis,69.02702703,19.87808185,64.16666667,12.92063687,13.505,1.409,13.3,2.974,37,36,37,35,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Cricetidae,Paraguayan rice rat,Sooretamys angouya,83.374,33.85641838,89.43833333,32.52934577,14.271,3.768,14.208,3.914,50,60,49,59,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Cricetidae,Southern bog lemming,Synaptomys cooperi,44.1,6.8,44.1,4.3,NA,NA,NA,NA,91,52,NA,NA,,"Bondrup-Nielsen, S. & Ims, R. A. Reversed sexual size dimorphism in microtines: are females larger than males or are males smaller than females? Evol. Ecol. 4, 261–272 (1990)."
Rodentia,Cricetidae,Blackish grass mouse,Thaptomys nigrita,19.82394366,4.765120459,20.46147541,8.08544705,9.213,1.551,9.025,1.526,142,122,140,121,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Cricetidae,Thomasomys baeops,Thomasomys baeops,32,15.55634919,26.5,4.949747468,NA,NA,NA,NA,2,2,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Cricetidae,Thomasomys cinereiventer,Thomasomys cinereiventer,47.625,14.11116579,44.6,9.24000962,NA,NA,NA,NA,8,10,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Cricetidae,Thomasomys contradictus,Thomasomys contradictus,40.53846154,9.356199097,37,8.510055971,NA,NA,NA,NA,26,20,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Cricetidae,Thomasomys nicefori,Thomasomys nicefori,78,19.54947105,72.09090909,17.71132149,NA,NA,NA,NA,12,11,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Cricetidae,Thomasomys niveipes,Thomasomys niveipes,35.78947368,8.067813578,37.8125,10.86412291,NA,NA,NA,NA,38,16,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Cricetidae,Transandinomys bolivaris,Transandinomys bolivaris,52.8,21.79092574,53.8,4.549725266,NA,NA,NA,NA,10,5,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Cricetidae,Transandinomys talamancae,Transandinomys talamancae,44.2,6.260990337,47.5,16.26345597,NA,NA,NA,NA,5,2,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Ctenomyidae,Sand dune tuco-tuco,Ctenomys australis,467,62.8,341.3,38.8,NA,NA,NA,NA,13,27,NA,NA,,"Mora, M. S., Becerra, F. & Vassallo, A. I. An allometric analysis of sexual dimorphism in Ctenomys australis: integrating classic morphometry and functional performance in vivo. Zoology 127, 27–39 (2018)."
Rodentia,Ctenomyidae,Flamarion's tuco tuco,Ctenomys flamarioni,250.8,60,212.8,43.5,NA,NA,NA,NA,6,9,NA,NA,Calculated means and SD from raw data fround in supplemental materials. Combined allopatric and sympatric populations. No report on time of year captured or whether individuals were pregnant.,"Kubiak, B. B., Maestri, R., Borges, L. R., Galiano, D. & de Freitas, T. R. Interspecific interactions may not influence home range size in subterranean rodents: A case study of two tuco-tuco species (Rodentia: Ctenomyidae). J. Mammal. 98, 1753–1759 (2017)."
Rodentia,Ctenomyidae,Tiny tuco-tuco,Ctenomys minutus,266,63,184.4,38.1,20.6,1.8,17.73,1.63,27,35,27,35,,"Marinho, J. R. & De Freitas, T. R. O. Population structure of Ctenomys minutus (Rodentia, Ctenomyidae) on the coastal plain of Rio Grande do Sul, Brazil. Acta Theriol. (Warsz). 51, 53–59 (2006)."
Rodentia,Ctenomyidae,Tiny tuco-tuco,Ctenomys minutus,248.1,34.7,202.2,27.4,NA,NA,NA,NA,9,8,NA,NA,Calculated means and SD from raw data fround in supplemental materials. Combined allopatric and sympatric populations. No report on time of year captured or whether individuals were pregnant.,"Kubiak, B. B., Maestri, R., Borges, L. R., Galiano, D. & de Freitas, T. R. Interspecific interactions may not influence home range size in subterranean rodents: A case study of two tuco-tuco species (Rodentia: Ctenomyidae). J. Mammal. 98, 1753–1759 (2017)."
Rodentia,Ctenomyidae,Highland tuco-tuco,Ctenomys opimus,364,47.8,309.4,39.1,NA,NA,NA,NA,10,16,NA,NA,,"O’Brien, S. L., Tammone, M. N., Cuello, P. A. & Lacey, E. A. Facultative sociality in a subterranean rodent, the highland tuco-tuco (Ctenomys opimus). Biol. J. Linn. Soc. 129, 918–930 (2020)."
Rodentia,Ctenomyidae,Tuco-tuco,Ctenomys talarum,136.2,18.8,102.3,12.6,14.599,1.07,13.92,0.935,95,110,95,110,,"Schulte-Hostedde, A. I. Sexual size dimorphism in rodents. in Rodent Societies: An Ecological and Evolutionary Perspective (eds. Wolff, J. O. & Sherman, P. W.) 115–128 (University of Chicago Press, 2007)."
Rodentia,Dasyproctidae,Azara's agouti,Dasyprocta azarae,3300,100,3228.571429,197.604704,NA,NA,NA,NA,3,7,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Dinomyidae,Dinomys branickii,Dinomys branickii,7000,2828.427125,5300,5798.275606,NA,NA,NA,NA,2,2,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Dipodidae,Lesser jerboa A,Jaculus jaculus sp. A,68.54545455,3.297381882,68.46666667,3.067494712,NA,NA,NA,NA,11,15,NA,NA,Means and sds calculated from raw data.,"Faleh, A. B. et al. Are there two cryptic species of the lesser jerboa Jaculus jaculus (Rodentia: Dipodidae) in Tunisia? Evidence from molecular, morphometric, and cytogenetic data. Biol. J. Linn. Soc. 99, 673–686 (2010)."
Rodentia,Dipodidae,Lesser jerboa B,Jaculus jaculus sp.B,66.66666667,4.509249753,69.5,3.885871846,NA,NA,NA,NA,3,6,NA,NA,Means and sds calculated from raw data.,"Faleh, A. B. et al. Are there two cryptic species of the lesser jerboa Jaculus jaculus (Rodentia: Dipodidae) in Tunisia? Evidence from molecular, morphometric, and cytogenetic data. Biol. J. Linn. Soc. 99, 673–686 (2010)."
Rodentia,Echimyidae,Hoplomys gymnurus,Hoplomys gymnurus,250.8333333,78.35921558,322.5,123.7436867,NA,NA,NA,NA,6,2,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Echimyidae,Mesomys hispidus,Mesomys hispidus,207,53.37914699,150.4,69.75170249,NA,NA,NA,NA,4,5,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Echimyidae,Nutria,Myocastor coypus,670,79,636,116,NA,NA,NA,NA,99,82,NA,NA,,"Schulte-Hostedde, A. I. Sexual size dimorphism in rodents. in Rodent Societies: An Ecological and Evolutionary Perspective (eds. Wolff, J. O. & Sherman, P. W.) 115–128 (University of Chicago Press, 2007)."
Rodentia,Echimyidae,Rusty-sided Atlantic tree-rat,Phyllomys pattoni,252.6666667,85.04557602,263.25,83.108363,20.771,2.924,20.854,1.969,9,16,7,13,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Echimyidae,Boyacá spiny rat,Proechimys chrysaeolus,254.5555556,133.9957077,194.4615385,99.96383962,NA,NA,NA,NA,18,13,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Echimyidae,O'Connell's spiny rat,Proechimys oconnelli,85,56.56854249,210.1666667,118.4641999,NA,NA,NA,NA,2,6,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Echimyidae,Gracile Atlantic spiny rat,Trinomys gratiosus,183.75,11.81453907,210.5,20.50609665,19.75,1.097,21.05,1.909,4,2,4,2,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Echimyidae,Ihering's Atlantic spiny rat,Trinomys iheringi,217.4,27.2,190.7,10.8,20.18,1.12,19.7,0.81,22,13,22,13,Length is head-and-body length in cm,"Bergallo, H. de G. Ecology of a small mammal community in an Atlantic Forest Area in Southeastern Brazil. Stud. Neotrop. Fauna Environ. 29, 197–217 (1994)."
Rodentia,Echimyidae,Ihering's Atlantic spiny rat,Trinomys iheringi,179.9,34.58146581,202.4444444,38.82689503,19.68,1.155,18.456,2.298,10,9,10,9,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Echimyidae,Spiked Atlantic spiny rat,Trinomys paratus,216.6666667,49.07477288,226,104.7960983,20.133,1.504,20.37,2.4,3,10,3,10,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Erethizontidae,Bristle-spined rat,Chaetomys subspinosus,1767.5,182.0370841,1985.714286,265.6114654,7.8,0.346,7.09,0.298,6,14,6,14,Body length is vent length.,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Erethizontidae,Bahia porcupine,Coendou insidiosus,1337,140.2418546,1300,148.8047618,NA,NA,NA,NA,10,8,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Rodentia,Geomyidae,Botta's pocket gopher,Thomomys bottae,125,24,85,12,NA,NA,NA,NA,69,123,NA,NA,"We used data from the year with the highest sample size, 1981, but 1980 and 1982 are also available from the source. For males, we used mean weight, but there are also data on males with and without developed testes.","Daly, J. C. & Patton, J. L. Growth, reproduction, and sexual dimorphism in Thomomys bottae pocket gophers. J. Mammal. 67, 256–265 (1986)."
Rodentia,Gliridae,European edible dormouse,Glis glis,91.1,18.8,113.2,35.2,NA,NA,NA,NA,9,30,NA,NA,,"_anády, A., Mo_ansk_, L. & Kri_ovsk_, P. Sexual size monomorphism and body variation in the fat dormouse Glis glis in Slovakia. Biologia (Bratisl). 71, 1061–1066 (2016)."
Rodentia,Gliridae,Hazel dormouse,Muscardinus avellanarius,18.8,2.5,22,2.6,NA,NA,NA,NA,17,13,NA,NA,,"Pretzlaff, I., Rau, D. & H. Dausmann, K. Energy expenditure increases during the active season in the small, free-living hibernator Muscardinus avellanarius. Mamm. Biol. 79, 208–214 (2014)."
Rodentia,Heteromyidae,Merriam's kangaroo rat,Dipodomys merriami,36.2,3.7,32.6,4.1,NA,NA,NA,NA,162,154,NA,NA,,"Kenagy, G. J. & Bartholomew, G. A. Seasonal reproductive patterns in five coexisting California desert rodent species. Ecol. Monogr. 55, 371–396 (1985)."
Rodentia,Heteromyidae,Chisel-toothed kangaroo rat,Dipodomys microps,55.2,6.7,51.2,5.4,NA,NA,NA,NA,202,165,NA,NA,,"Kenagy, G. J. & Bartholomew, G. A. Seasonal reproductive patterns in five coexisting California desert rodent species. Ecol. Monogr. 55, 371–396 (1985)."
Rodentia,Heteromyidae,Heteromys anomalus,Heteromys anomalus,67.8,29.02068228,75,6.557438524,NA,NA,NA,NA,5,3,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Rodentia,Heteromyidae,Perognathus formosus,Perognathus formosus,19.1,1.5,18.1,2.2,NA,NA,NA,NA,97,118,NA,NA,,"Kenagy, G. J. & Bartholomew, G. A. Seasonal reproductive patterns in five coexisting California desert rodent species. Ecol. Monogr. 55, 371–396 (1985)."
Rodentia,Heteromyidae,Little pocket mouse,Perognathus longimembris,7.2,0.7,7.3,1.1,NA,NA,NA,NA,66,67,NA,NA,,"Kenagy, G. J. & Bartholomew, G. A. Seasonal reproductive patterns in five coexisting California desert rodent species. Ecol. Monogr. 55, 371–396 (1985)."
Rodentia,Muridae,Spiny mouse,Acomys cahirinus,35.2,6.405724003,32,5.858498101,NA,NA,NA,NA,77,20,NA,NA,SEs converted to SDs. No seasonal fluctuations in mass were detected.,"Shargal, E., Kronfeld-Schor, N. & Dayan, T. Population biology and spatial relationships of coexisting spiny mice (Acomys) in Israel. J. Mammal. 81, 1046–1052 (2000)."
Rodentia,Muridae,Arabian spiny mouse,Acomys dimidiatus,35.7,1,36.4,0.7,NA,NA,NA,NA,73,63,NA,NA,This study didn't find a significant difference in body weight between the sexes but males were significantly larger than females in winter (pregnancies observed from spring to autumn but only a total of 7 pregnant females captured).,"Sarli, J., Luterman, H., Alagaili, A. N., Mohammed, O. B. & Bennett, N. C. Seasonal reproduction in the Arabian spiny mouse, Acomys dimidiatus (Rodentia: Muridae) from Saudi Arabia: The role of rainfall and temperature. J. Arid Environ. 124, 352–359 (2016)."
Rodentia,Muridae,Southern African spiny mouse,Acomys spinosissimus,24.3,4.74,26.5,3.91,NA,NA,NA,NA,27,17,NA,NA,,"Verheyen, W., Hulselmans, J., Wendelen, W., Leirs, H. & Corti, M. Contribution to the systematics and zoogeography of the East-African Acomys spinosissimus Peters 1852 species complex and the description of two new species (Rodentia: Muridae). Zootaxa 3059, 1–35 (2011)."
Rodentia,Muridae,Golden spiny mouse,Acomys russatus,44.1,6.65431439,41,7.230242043,NA,NA,NA,NA,119,44,NA,NA,SEs converted to SDs. No seasonal fluctuations in mass were detected.,"Shargal, E., Kronfeld-Schor, N. & Dayan, T. Population biology and spatial relationships of coexisting spiny mice (Acomys) in Israel. J. Mammal. 81, 1046–1052 (2000)."
Rodentia,Muridae,Wilson's spiny mouse,Acomys wilsoni,29.3,2.5,31.7,0.5,NA,NA,NA,NA,9,3,NA,NA,,"Canova, L. & Fasola, M. Small rodents along a ground-cover gradient in coastal Kenya. Trop. Zool. 13, 219–226 (2000)."
Rodentia,Muridae,Tete veld rat,Aethomys ineptus,80.48,17.27,69.72,16.87,NA,NA,NA,NA,25,27,NA,NA,"Calculated means and SDs from stats reported for the months of June-September, the months when none of the sampled females were pregnant or lactating.","Muteka, S. P., Chimimba, C. T. & Bennett, N. C. Reproductive seasonality in the Tete veld rat (Aethomys ineptus) (Rodentia: Muridae) from southern Africa. J. Zool. 270, 314–322 (2006)."
Rodentia,Muridae,Hinde's rock rat,Aethomys hindei,64,1.9,54.5,8.8,NA,NA,NA,NA,4,3,NA,NA,,"Canova, L. & Fasola, M. Small rodents along a ground-cover gradient in coastal Kenya. Trop. Zool. 13, 219–226 (2000)."
Rodentia,Muridae,Namaqua rock rat,Aethomys namaquensis,45.34,8.82,42.76,8.88,NA,NA,NA,NA,47,53,NA,NA,"Calculated means and SDs from these stats reported for the months of April-September, the months when none of the sampled females were pregnant or lactating.","Muteka, S. P., Chimimba, C. T. & Bennett, N. C. Reproductive seasonality in Aethomys namaquensis (Rodentia: Muridae) from southern Africa. J. Mammal. 87, 67–74 (2006)."
Rodentia,Muridae,Striped field mouse,Apodemus agrarius,25.77,5.586877482,26.24,7.14352854,9.536,0.727498454,9.589,0.712628936,57,63,54,60,Sample sizes taken from trap tally in Table 1 - total is 120 but only 118 used for the body weight calculations so may be off by 1 or 2. N's for body length adjusted down evenly to a total of 114 as reported in Table 2. SEs converted to SDs.,"Bal_iauskiene, L. & Bal_iauskas, L. Pelvis of the striped field mouse Apodemus agrarius (Pallas, 1771): Sexual dimorphism and relation to body weight. North. West. J. Zool. 12, 50–57 (2016)."
Rodentia,Muridae,Small Japanese field mouse,Apodemus argenteus,21.41,6.14,18.89,4.01,NA,NA,NA,NA,17,9,NA,NA,Calculated from raw data in supplementary materials. All individuals trapped that were 14g or above were considered adults (so used only these data to calculate means and variances),"Suzuki, H., Kashiwagi, H. & Kajimura, H. How does the 120-year cycle mast seeding of dwarf bamboo affect the rodent population? Ecol. Process. 11, (2022)."
Rodentia,Muridae,Yellow-necked mouse,Apodemus flavicollis,41.32,5.4,38.9,5.18,NA,NA,NA,NA,17,13,NA,NA,,"Wo_k, E. & Koz_owski, J. Changes of body weight and hematological parameters in a fluctuating population of Apodemus flavicollis. Acta Theriol. (Warsz). 34, (1989)."
Rodentia,Muridae,Ural field mouse,Apodemus microps,13,4.61,13.88,3.42,7.757,0.461,8.25,0.342,4,7,4,7,,"Vohralík, V. Distribution, skull morphometrics and systematic status of an isolated population of Apodemus microps (Mammalia: Rodentia) in NW Bohemia, Czech Republic. Acta Soc. Zool. Bohemicae 66, 67–80 (2002)."
Rodentia,Muridae,Taiwan field mouse,Apodemus semotus,27.72,3.09,27,2.8,NA,NA,NA,NA,160,24,NA,NA,"For females, used total values across months for parous females (pregnant females reported separately). For males, combined values across months from Table 4.","Lin, L.-K. & Shiraishi, S. Reproductive biology of the Formosan wood mouse, Apodemus semotus. J. Fac. Agric. Kyushu Univ. 36, 183–200 (1992)."
Rodentia,Muridae,Large Japanese field mouse,Apodemus speciosus,40.7,8.59,35.7,7.36,11.77,0.988,11.13,0.865,45,30,45,30,Used the values from Kagoshima because that site had the largest sample sizes (data from 11 different sites were reported).,"Ueda, H. & Takatsuki, S. Sexual dimorphism of Apodemus speciosus in wild populations. Mammal Study 30, 65–68 (2005)."
Rodentia,Muridae,Wood mouse,Apodemus sylvaticus,22.7,3.97,21.35,2.97,NA,NA,NA,NA,10,10,NA,NA,"Used values for sexually active adults in the summer, when the study found no difference in weight between reproductively active and inactive individuals (so little effect of pregnancy on weight).","Rosário, I. T. & Mathias, M. L. Annual weight variaiton and reproductive cycle of the wood mouse (Apodemus sylvaticus) in a Mediterranean environment. Mammalia 68, 133–140 (2004)."
Rodentia,Muridae,Pygmy field mouse,Apodemus uralensis,13.57,2.25166605,14.58,3.261165436,NA,NA,NA,NA,12,23,NA,NA,Sample size taken from the number for which skulls were measured.,"Bal_iauskas, L., Bal_iauskien_, L. & Ju_kaitis, R. Body size and craniometry of the herb field mouse from Lithuania in the context of species range. Biol. 73, 351–359 (2018)."
Rodentia,Muridae,Mindanao mossy forest mouse,Apomys hylocetes,39,2.7,36,2.3,24.9,0.92,24.6,0.65,31,13,15,15,"Weights from non-pregnant, multiparous females and from adult males with scrotal testes. Lengths are total lengths (tail lengths reported separately).","Heaney, L. R., Tabaranza, B. R., Rickart, E. A., Balete, D. S. & Ingle, N. R. The mammals of Mt. Kitanglad Nature Park, Mindanao, Philippines. Fieldiana Zool. 112, 1–63 (2006)."
Rodentia,Muridae,Mindanao montane forest mouse,Apomys insignis,39,2.2,39,5.2,25.2,0.92,2.52,1.03,15,13,20,19,"Body lengths  = total lengths. Tail lengths reported separately. Weights for females appear to be from non-pregnant females (N=13 for weights in table, caught a total of 22 adults, five of which were pregnant). In any case, the mean weight for pregnant females was the same as for three adult females noted in text to be non-pregnant but multiparous (mean = 40g). ","Heaney, L. R., Tabaranza, B. R., Rickart, E. A., Balete, D. S. & Ingle, N. R. The mammals of Mt. Kitanglad Nature Park, Mindanao, Philippines. Fieldiana Zool. 112, 1–63 (2006)."
Rodentia,Muridae,African grass rat,Arvicanthis niloticus,98.4,8.7,109,14.5,NA,NA,NA,NA,15,10,NA,NA,,"Canova, L. & Fasola, M. Small rodents along a ground-cover gradient in coastal Kenya. Trop. Zool. 13, 219–226 (2000)."
Rodentia,Muridae,Lesser bandicoot rat,Bandicota benaglensis,208.08,58.31618633,181.88,79.15,NA,NA,NA,NA,52,25,NA,NA,Used the values from spring because females were pregnant in summer and fall. SEs converted to SDs using SD=SE*SQRT(N),"Rana, S. A., Rana, N., Iqbal, M. Z. & Shahbaz, F. Seasonal demographic variation in bandicoot rats, Bandicota bengalensis (Gray) in irrigated crops. Pakistan J. Agric. Sci. 43, 63–68 (2006)."
Rodentia,Muridae,Greater bandicoot rat,Bandicota indica,557,15,503,10,NA,NA,NA,NA,15,33,NA,NA,Used values from non-pregnant females and males in the Year 1 Wet Season (largest sample size).,"Thitipramote, N., Swanjarat, J. & Breed, W. G. Reproductive biology of the greater bandicoot rat Bandicota indica (Rodentia: Muridae) in the rice fields of southern Thailand. Curr. Zool. 55, 48–55 (2009)."
Rodentia,Muridae,Luzon hairy-tailed rat,Batomys granti,184.4,28.7,186.8,14.9,NA,NA,NA,NA,5,5,NA,NA,,"Balete, D. S., Rickart, E. A., Heaney, L. R. & Jansa, S. A. A new species of Batomys (Muridae, Rodentia) from southern Luzon Island, Philippines. Proc. Biol. Soc. Washingt. 128, 22–39 (2015)."
Rodentia,Muridae,Mindanao hairy-tailed rat,Batomys salomonseni,167,20.7,160,18.4,31,1.1,30.8,1.43,14,10,15,16,"Weights from non-pregnant, multiparous adult females and adult scrotal males. Body length is total length. Tail length is reported separately.","Heaney, L. R., Tabaranza, B. R., Rickart, E. A., Balete, D. S. & Ingle, N. R. The mammals of Mt. Kitanglad Nature Park, Mindanao, Philippines. Fieldiana Zool. 112, 1–63 (2006)."
Rodentia,Muridae,Batomys uragon,Batomys uragon,178.2,14.4,177,24.9,NA,NA,NA,NA,5,5,NA,NA,,"Balete, D. S., Rickart, E. A., Heaney, L. R. & Jansa, S. A. A new species of Batomys (Muridae, Rodentia) from southern Luzon Island, Philippines. Proc. Biol. Soc. Washingt. 128, 22–39 (2015)."
Rodentia,Muridae,Blazed Luzon Shrew rat,Celaenomys silaceus,77.8,6.6,90.4,19.1,14.8,0.86,14.89,1.07,4,11,4,13,,"Rickart, E. A., Heaney, L. R., Goodman, S. M. & Jansa, S. A. Review of the Philippine genera Chrotomys and Celaenomys (Murinae) and description of a new species. J. Mammal. 86, 415–428 (2005)."
Rodentia,Muridae,Isarog striped shrew-rat,Chrotomys gonzalesi,105.5,5.5,139.3,34,16.25,0.25,17.17,1.07,2,6,NA,NA,,"Rickart, E. A., Heaney, L. R., Goodman, S. M. & Jansa, S. A. Review of the Philippine genera Chrotomys and Celaenomys (Murinae) and description of a new species. J. Mammal. 86, 415–428 (2005)."
Rodentia,Muridae,Luzon striped rat,Chrotomys whiteheadi,108.3,14.5,117.8,22.8,16,0.49,15.96,0.85,7,19,NA,NA,,"Rickart, E. A., Heaney, L. R., Goodman, S. M. & Jansa, S. A. Review of the Philippine genera Chrotomys and Celaenomys (Murinae) and description of a new species. J. Mammal. 86, 415–428 (2005)."
Rodentia,Muridae,Namibian gerbil,Gerbilliscus leucocaster,70.48,18.47,56.15,9.79,NA,NA,NA,NA,93,65,NA,NA,,"Muteka, S. P., Chimimba, C. T., Bastos, A. D. & Bennett, N. C. The reproductive pattern of the Gerbillicus cf. leucocaster (Rodentia: Muridae) from Namibia. Can. J. Zool. 97, (2019)."
